model,condition,turn,agent,API_ERR,DECRYPT,DONE,OTHER,READ,SUBMIT,WRITE
qwen3-235b,placebo,11,A1,0,1,5,0,8,2,1
qwen3-235b,placebo,11,A2,0,1,2,0,7,2,5
qwen3-235b,placebo,12,A1,0,1,6,0,5,1,3
qwen3-235b,placebo,12,A2,0,0,3,0,7,3,3
qwen3-235b,placebo,13,A1,0,0,6,0,6,0,3
qwen3-235b,placebo,13,A2,0,0,5,0,8,2,0
qwen3-235b,placebo,14,A1,0,0,5,0,8,1,0
qwen3-235b,placebo,14,A2,0,0,6,0,2,3,3
qwen3-235b,placebo,15,A1,0,1,4,0,3,1,3
qwen3-235b,placebo,15,A2,0,0,7,0,3,2,0
qwen3-235b,placebo,16,A1,0,0,3,0,7,0,0
qwen3-235b,placebo,16,A2,0,0,7,0,2,0,1
qwen3-235b,placebo,17,A1,0,1,3,0,4,0,2
qwen3-235b,placebo,17,A2,0,0,7,0,3,0,0
qwen3-235b,placebo,18,A1,0,1,3,0,5,0,1
qwen3-235b,placebo,18,A2,0,0,7,0,0,3,0
qwen3-235b,placebo,19,A1,0,1,0,0,6,0,0
qwen3-235b,placebo,19,A2,0,0,7,0,0,0,0
qwen3-235b,placebo,20,A1,0,0,0,0,2,2,3
qwen3-235b,placebo,20,A2,0,0,7,0,0,0,0
qwen3-235b,placebo,21,A1,0,0,0,0,2,3,0
qwen3-235b,placebo,21,A2,0,0,5,0,0,0,0
qwen3-235b,placebo,22,A1,0,1,0,0,0,1,0
qwen3-235b,placebo,22,A2,0,0,2,0,0,0,0
qwen3-235b,placebo,23,A1,0,0,0,0,1,0,0
qwen3-235b,placebo,23,A2,0,0,1,0,0,0,0
qwen3-235b,placebo,24,A1,0,0,0,0,0,1,0
qwen3-235b,placebo,24,A2,0,0,1,0,0,0,0
qwen3-235b,switch,1,A1,0,20,0,0,0,0,0
qwen3-235b,switch,1,A2,0,20,0,0,0,0,0
qwen3-235b,switch,2,A1,0,0,0,0,0,0,20
qwen3-235b,switch,2,A2,0,3,0,0,0,0,17
qwen3-235b,switch,3,A1,0,0,0,1,18,0,1
qwen3-235b,switch,3,A2,0,0,0,0,16,0,4
qwen3-235b,switch,4,A1,0,1,0,0,9,1,9
qwen3-235b,switch,4,A2,0,0,0,0,10,0,10
qwen3-235b,switch,5,A1,0,0,1,0,17,1,1
qwen3-235b,switch,5,A2,0,0,0,0,17,0,3
qwen3-235b,switch,6,A1,0,1,2,0,13,1,3
qwen3-235b,switch,6,A2,0,1,0,0,14,0,5
qwen3-235b,switch,7,A1,0,2,3,0,14,0,1
qwen3-235b,switch,7,A2,0,2,0,0,15,0,3
qwen3-235b,switch,8,A1,0,0,3,0,13,0,4
qwen3-235b,switch,8,A2,0,2,0,0,15,0,3
qwen3-235b,switch,9,A1,0,0,3,0,13,1,3
qwen3-235b,switch,9,A2,0,2,0,0,13,0,5
qwen3-235b,switch,10,A1,0,0,4,0,7,4,5
qwen3-235b,switch,10,A2,0,0,0,0,15,1,4
qwen3-235b,switch,11,A1,0,0,8,0,8,4,0
qwen3-235b,switch,11,A2,0,1,1,0,8,5,5
qwen3-235b,switch,12,A1,0,1,8,0,4,2,1
qwen3-235b,switch,12,A2,0,0,2,0,9,1,4
qwen3-235b,switch,13,A1,0,0,9,0,4,1,1
qwen3-235b,switch,13,A2,0,0,2,0,9,3,1
qwen3-235b,switch,14,A1,0,0,7,0,2,1,2
qwen3-235b,switch,14,A2,0,0,2,0,8,2,0
qwen3-235b,switch,15,A1,0,0,6,0,3,1,0
qwen3-235b,switch,15,A2,0,0,2,0,8,0,0
qwen3-235b,switch,16,A1,0,0,7,0,2,1,0
qwen3-235b,switch,16,A2,0,0,2,0,6,0,2
qwen3-235b,switch,17,A1,0,0,7,0,0,1,1
qwen3-235b,switch,17,A2,0,0,1,0,8,0,0
qwen3-235b,switch,18,A1,0,0,7,0,1,0,0
qwen3-235b,switch,18,A2,0,1,0,0,6,0,1
qwen3-235b,switch,19,A1,0,0,7,0,0,1,0
qwen3-235b,switch,19,A2,0,0,0,0,7,1,0
qwen3-235b,switch,20,A1,0,0,7,0,0,0,0
qwen3-235b,switch,20,A2,0,1,0,0,5,1,0
qwen3-235b,switch,21,A1,0,0,2,0,0,0,0
qwen3-235b,switch,21,A2,0,0,0,0,2,0,0
qwen3-235b,switch,22,A1,0,0,2,0,0,0,0
qwen3-235b,switch,22,A2,0,0,0,0,2,0,0
qwen3-235b,switch,23,A1,0,0,2,0,0,0,0
qwen3-235b,switch,23,A2,0,0,0,0,2,0,0
qwen3-235b,switch,24,A1,0,0,2,0,0,0,0
qwen3-235b,switch,24,A2,0,0,0,0,2,0,0
qwen3-235b,switch,25,A1,0,0,2,0,0,0,0
qwen3-235b,switch,25,A2,0,0,0,0,2,0,0
qwen3-235b,switch,26,A1,0,0,2,0,0,0,0
qwen3-235b,switch,26,A2,0,0,0,0,2,0,0
qwen3-235b,switch,27,A1,0,0,2,0,0,0,0
qwen3-235b,switch,27,A2,0,0,0,0,2,0,0
qwen3-235b,switch,28,A1,0,0,2,0,0,0,0
qwen3-235b,switch,28,A2,0,0,0,0,2,0,0
qwen3-235b,switch,29,A1,0,0,2,0,0,0,0
qwen3-235b,switch,29,A2,0,0,0,0,2,0,0
qwen3-235b,switch,30,A1,0,0,2,0,0,0,0
qwen3-235b,switch,30,A2,0,0,0,0,2,0,0
